Departure_Date,Departure_Day,Departure_Time,Plane_Type,Oil_Price,Days_In_Advance,Sale_Day,Ticket_Price,Price_Increase,Price1,Price2,Price3
10/11/23,Wednesday,1:30pm,B737,83.64,56,Wednesday,80,FALSE,-0.13,0.00,0.15
10/11/23,Wednesday,1:30pm,B737,82.92,55,Thursday,80,FALSE,-0.02,-0.13,0.00
10/11/23,Wednesday,1:30pm,B737,84.24,54,Friday,80,FALSE,0.00,-0.02,-0.13
10/11/23,Wednesday,1:30pm,B737,84.99,53,Saturday,80,FALSE,0.00,0.00,-0.02
10/11/23,Wednesday,1:30pm,B737,85.56,52,Sunday,80,FALSE,0.00,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,84.91,51,Monday,80,FALSE,0.00,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,83.20,50,Tuesday,64,FALSE,0.00,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,85.14,49,Wednesday,64,FALSE,-0.20,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,86.24,48,Thursday,64,FALSE,0.00,-0.20,0.00
10/11/23,Wednesday,1:30pm,B737,85.34,47,Friday,64,FALSE,0.00,0.00,-0.20
10/11/23,Wednesday,1:30pm,B737,86.17,46,Saturday,64,FALSE,0.00,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,87.55,45,Sunday,64,FALSE,0.00,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,86.40,44,Monday,64,FALSE,0.00,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,86.81,43,Tuesday,62,FALSE,0.00,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,86.21,42,Wednesday,87,TRUE,-0.03,0.00,0.00
10/11/23,Wednesday,1:30pm,B737,84.89,41,Thursday,80,FALSE,0.40,-0.03,0.00
10/11/23,Wednesday,1:30pm,B737,83.45,40,Friday,81,TRUE,-0.08,0.40,-0.03
10/11/23,Wednesday,1:30pm,B737,84.12,39,Saturday,87,TRUE,0.01,-0.08,0.40
10/11/23,Wednesday,1:30pm,B737,84.80,38,Sunday,85,FALSE,0.07,0.01,-0.08
10/11/23,Wednesday,1:30pm,B737,84.46,37,Monday,85,FALSE,-0.02,0.07,0.01
10/11/23,Wednesday,1:30pm,B737,84.03,36,Tuesday,63,FALSE,0.00,-0.02,0.07
10/11/23,Wednesday,1:30pm,B737,83.21,35,Wednesday,63,FALSE,-0.26,0.00,-0.02
10/11/23,Wednesday,1:30pm,B737,83.36,34,Thursday,63,FALSE,0.00,-0.26,0.00
10/11/23,Wednesday,1:30pm,B737,84.48,33,Friday,63,FALSE,0.00,0.00,-0.26
10/11/23,Wednesday,1:30pm,B737,84.42,32,Saturday,63,FALSE,0.00,0.00,0.00
